iter	MultiClass
0	2.397717002
1	2.397536785
2	2.397357752
3	2.3971783
4	2.396998295
5	2.39682139
6	2.39664231
7	2.396462658
8	2.396283736
9	2.396104225
10	2.395924645
11	2.395745281
12	2.395568021
13	2.395388798
14	2.395210537
15	2.395033275
16	2.394856084
17	2.394677136
18	2.394499154
19	2.394322662
20	2.394145956
21	2.393969523
22	2.393794551
23	2.393618506
24	2.393442531
25	2.393264935
26	2.393086617
27	2.392910678
28	2.392733702
29	2.392556669
30	2.392380402
31	2.392203309
32	2.392027932
33	2.391853047
34	2.391679509
35	2.391504518
36	2.391328422
37	2.391151936
38	2.390976144
39	2.390799593
40	2.39062449
41	2.390449513
42	2.390273794
43	2.390100357
44	2.389923883
45	2.389749362
46	2.389573481
47	2.389396601
48	2.389224484
49	2.389049571
50	2.388873768
51	2.388700204
52	2.388523508
53	2.388346882
54	2.388172568
55	2.387998163
56	2.387822842
57	2.387650228
58	2.387477055
59	2.387301597
60	2.387125446
61	2.386952184
62	2.38677857
63	2.386605614
64	2.386430494
65	2.386254829
66	2.386079082
67	2.385906582
68	2.385733471
69	2.385558688
70	2.385383213
71	2.385208203
72	2.385036834
73	2.384862572
74	2.384689296
75	2.384515491
76	2.384344289
77	2.384170372
78	2.383995432
79	2.383820701
80	2.383646296
81	2.383471558
82	2.383297646
83	2.383127091
84	2.382953885
85	2.382780739
86	2.382606476
87	2.382432285
88	2.382258162
89	2.382084716
90	2.38191252
91	2.381741568
92	2.381569615
93	2.38139733
94	2.381225587
95	2.381053697
96	2.3808833
97	2.380710379
98	2.38054026
99	2.380369283
100	2.380195802
101	2.380023144
102	2.379850623
103	2.379677481
104	2.379505266
105	2.379336012
106	2.379163681
107	2.378994656
108	2.378824361
109	2.378655389
110	2.378485126
111	2.37831418
112	2.37814224
113	2.377974047
114	2.377803233
115	2.377632379
116	2.377461016
117	2.377295386
118	2.377123827
119	2.376954904
120	2.376783515
121	2.376611542
122	2.376441839
123	2.376270449
124	2.376100014
125	2.375928157
126	2.375759047
127	2.37558815
128	2.375418419
129	2.375248391
130	2.375076995
131	2.374905672
132	2.374734414
133	2.374564971
134	2.374394085
135	2.374223022
136	2.374055708
137	2.373885371
138	2.373715535
139	2.373544581
140	2.373379047
141	2.373208367
142	2.373037604
143	2.372869834
144	2.372699199
145	2.372530961
146	2.372360593
147	2.372190291
148	2.37202381
149	2.371855517
150	2.371685266
151	2.371518686
152	2.371350259
153	2.371180338
154	2.37101307
155	2.370847217
156	2.370681721
157	2.370514613
158	2.37034696
159	2.370179599
160	2.370010767
161	2.369844602
162	2.36967606
163	2.369507367
164	2.369340878
165	2.369172742
166	2.369004547
167	2.368838062
168	2.368674691
169	2.368506574
170	2.368342014
171	2.368173863
172	2.368006777
173	2.367839371
174	2.367673463
175	2.367506652
176	2.367338174
177	2.367169609
178	2.367002733
179	2.366835464
180	2.366668964
181	2.36650065
182	2.366334713
183	2.366168838
184	2.366001997
185	2.365837307
186	2.365669304
187	2.365501364
188	2.365335361
189	2.365167693
190	2.365001813
191	2.364835098
192	2.364667469
193	2.364502268
194	2.364336846
195	2.364171794
196	2.364004551
197	2.363837966
198	2.363671982
199	2.363505763
200	2.363340628
201	2.363176422
202	2.363013394
203	2.362847602
204	2.362686038
205	2.362519355
206	2.362353633
207	2.362189705
208	2.362023199
209	2.361857662
210	2.361691289
211	2.361524824
212	2.361359154
213	2.361193189
214	2.361029657
215	2.36086359
216	2.36070472
217	2.360538763
218	2.360372722
219	2.360210228
220	2.360044891
221	2.359880465
222	2.359714668
223	2.359550031
224	2.359387507
225	2.359222044
226	2.359056637
227	2.358891872
228	2.358728505
229	2.35856351
230	2.358398201
231	2.358233678
232	2.358068493
233	2.357905839
234	2.357741919
235	2.357576916
236	2.357413224
237	2.357248489
238	2.357085636
239	2.3569221
240	2.356757545
241	2.356596533
242	2.356432671
243	2.356268871
244	2.356105999
245	2.355941596
246	2.355781154
247	2.355620761
248	2.355457291
249	2.355294069
250	2.355130756
251	2.354970069
252	2.354809685
253	2.354646587
254	2.354486162
255	2.354323332
256	2.354160876
257	2.353999228
258	2.353835595
259	2.353672963
260	2.353510167
261	2.353349064
262	2.353188125
263	2.353025656
264	2.352865191
265	2.352702336
266	2.352539893
267	2.352376793
268	2.352214637
269	2.352052373
270	2.351889594
271	2.351727448
272	2.351565363
273	2.351405933
274	2.351245768
275	2.351087064
276	2.350926525
277	2.350764015
278	2.350601702
279	2.350442849
280	2.350280515
281	2.350118956
282	2.34995687
283	2.349795664
284	2.349636779
285	2.349476262
286	2.349317566
287	2.349158416
288	2.348996685
289	2.348834874
290	2.348674443
291	2.348512879
292	2.348351245
293	2.348192441
294	2.348034236
295	2.347872774
296	2.347714054
297	2.347554283
298	2.347397387
299	2.347236841
300	2.347079515
301	2.346920484
302	2.346760332
303	2.346599469
304	2.346441909
305	2.346285791
306	2.346126066
307	2.345967297
308	2.345806575
309	2.345649097
310	2.34548863
311	2.345331135
312	2.345172425
313	2.34501359
314	2.34485321
315	2.344695989
316	2.34453782
317	2.344378474
318	2.344221476
319	2.344061523
320	2.343901628
321	2.343745121
322	2.343588671
323	2.343429707
324	2.343270449
325	2.343110696
